날짜,노원구,은평구,서대문구,서초구,강남구,송파구
2022-04-04,117.651702630605,106.189569843733,99.061125648632,83.013676463463,78.969975251374,79.848803945823
2022-04-11,117.665808348852,106.20071724808,99.079981741571,83.148712242818,79.002527801904,79.874223714418
2022-04-18,117.691365372103,106.286673327326,99.100554196945,83.273275749927,79.034557149568,79.924438857214
2022-04-25,117.703162411922,106.345739652876,99.102950713967,83.455578864759,79.045666621296,79.954541345076
2022-05-02,117.728456781402,106.359051472668,99.102991111351,83.603481584845,79.04842712949,80.025375048687
2022-05-09,117.673356300293,106.365137130589,99.102991111316,83.699753316533,79.100680102148,80.052376716742
2022-05-16,117.62668455971,106.408071274896,99.102991111351,83.766647015425,79.175183906271,80.110932782327
2022-05-23,117.596419913717,106.492988804434,99.102991111351,83.777754115347,79.228739799106,80.127394296219
2022-05-30,117.579843123595,106.527238765065,99.015509918198,83.833365901668,79.262355397383,80.146846148325
2022-06-06,117.531370357876,106.533307053174,98.960939400939,83.998749131523,79.363228369208,80.164666796999
2022-06-13,117.473250943918,106.533332081088,98.930032174328,84.118155869684,79.457517887729,80.137065371244
2022-06-20,117.466997210876,106.532129081394,98.912322241101,84.232253284974,79.551624061816,80.133790077601
2022-06-27,117.472344840248,106.530918752137,98.893246864085,84.28915739956,79.620871552063,80.084438070297
2022-07-04,117.474702811525,106.568796318864,98.849627781567,84.298449093574,79.662309334615,80.062861039839
2022-07-11,117.483345432783,106.590532839621,98.836005368495,84.298432791865,79.785294123385,80.040182514993
2022-07-18,117.413382882427,106.65685184628,98.797128764102,84.307120531255,79.83204768566,80.029005255141
2022-07-25,117.269888314135,106.660110674717,98.733904187326,84.313588223289,79.823278665793,80.024144226494
2022-08-01,117.209656815015,106.660039300868,98.708029265185,84.313904094065,79.823254484044,80.007983150248
2022-08-08,117.135809756565,106.675789158647,98.691685880973,84.318984586134,79.791431746002,79.971739614476
2022-08-15,117.064720344841,106.661489040294,98.678088245281,84.318962989796,79.766500940432,79.908859077867
2022-08-22,116.949230848452,106.656136922078,98.664501292021,84.306244328914,79.76017439052,79.840725401375
2022-08-29,116.801836812596,106.656104920634,98.660551287441,84.294104238562,79.734961537656,79.71165489672
2022-09-05,116.556083307437,106.612761512732,98.630881786264,84.274263656339,79.708345834408,79.590968382703
2022-09-19,115.955760990278,106.505039993293,98.566948644199,84.249024812684,79.629353391424,79.426839090292
2022-09-26,115.707256374027,106.491625423017,98.383209518097,84.244815041268,79.522093113705,79.243668939887
2022-10-03,115.20676819248,106.401671237068,98.339344830152,84.202679103616,79.419975850021,79.149937347101
2022-10-10,114.920232408038,106.371209314571,98.300819066776,84.17485425792,79.286225489769,79.042426235011
2022-10-17,114.485944858494,106.286108147173,98.248848954389,84.141575461179,79.197442948637,78.676921208223
2022-10-24,114.102039264632,106.155017671788,98.083670117529,84.069821058212,79.068632374577,78.460402574501
2022-10-31,113.838202496367,106.076446453736,97.942754106195,83.954109853463,78.968564164576,78.05852251443
2022-11-07,113.506879196063,106.044627223927,97.797000975353,83.766974283757,78.666239876507,77.421078311981
2022-11-14,112.423052028875,105.801833955086,97.508480801207,83.705408019379,78.500627499969,76.795932087151
2022-11-21,112.040494146804,105.339244183444,97.286228322994,83.412960036079,78.321955921833,76.254191247592
2022-11-28,111.867576275986,104.937027693414,97.087284979525,83.19323690582,78.16150444749,75.694355982927
2022-12-05,111.246020540032,104.541240577505,96.529111804849,82.993413850105,78.016700416414,75.179525627888
2022-12-12,110.804804023231,104.312294317465,96.32830635101,82.801631416554,77.844774151609,74.82901916088
2022-12-19,110.053654157598,104.049795617533,95.732219435245,82.67165211035,77.600004108093,74.278828958747
2022-12-26,109.615629809412,103.573942643892,95.341084266107,82.564162462094,77.453032922106,73.973396222511
2023-01-02,108.905582913595,103.393311145344,95.01140448236,82.505851636602,77.154269395643,73.794436775024
2023-01-09,108.535874088049,103.171692779239,94.773672087563,82.337738052493,76.816463276321,73.584453006159
2023-01-16,108.041584233864,102.89426465361,93.100166833509,82.177641533902,76.231780517197,73.323503746648
2023-01-30,107.383336221463,102.450513293018,92.08983190811,81.787837162019,75.740264586157,72.976745354988
2023-02-06,106.679726345689,102.160106120195,91.493213095176,81.630246768057,75.37232437001,72.817369480506
2023-02-13,106.291674400856,101.871714305782,90.749287550171,81.360642823683,75.27832353765,72.643990636421
2023-02-20,105.368625779711,101.503396053267,90.277487967083,81.101298669723,75.163057714428,72.621354884591
2023-02-27,105.021223506684,101.384786804008,89.970673797203,80.893542041389,75.134900299228,72.563654374422
2023-03-06,104.473803709037,100.944337713158,89.699952070604,80.667982081212,75.082117744303,72.374352661192
2023-03-13,104.072495333149,100.411790053328,89.498038820137,80.554010041598,75.003075467479,72.135483839368
2023-03-20,103.829583417843,100.043443675923,89.105408283553,80.366274288169,74.962468592672,71.964086288581
2023-03-27,103.488180149455,99.891301278567,89.005670730269,80.241752279972,74.814621489993,71.6978647897
2023-04-03,103.244385153232,99.754858795682,88.643627715321,79.965084102015,74.67109747413,71.549346876635
2023-04-10,103.013138304651,99.632184120442,88.619846651966,79.836043623857,74.545606234981,71.52263076052
2023-04-17,102.733134416033,99.336361281588,88.492544398345,79.73058677617,74.510174461452,71.387530964595
